Name,Address,Zip
Taj Pizza,288 Golden Gate Ave,94102	 
New Supremo Pizza,491 O'Farrell St,94102
New York Pizza Kitchen,127 Eddy St,94102	
Milan Pizza,606 Geary St,94102
Local Diner,1244 Market St,94102	
Chico's Pizza,468 Ellis St,94102
SF Pizza,1270 Mission St,94103 	
Chico's Pizza,131 6th St,94103
Pranzo Pizza,32 6th St,94103
Chico's Cafe,133 6th St,94103
Supremo Pizza,87 6th St,94103
Royalty Pizza Cafe,829 Geary St,94109
Napoli Pizza,1045 Polk St,94109
Los Colores Taqueria,709 O'Farrell St,94109
Los Hermanos Taqueria,868-A Geary St,94109
Irving Pizza,928 Geary St,94109
Soul Food City Restaurant,403 Eddy St,94109
What A Grind,881 Post St,94109
Milan Pizza,2074 Mission St,94110
Let's Eat BBQ,5130 3rd St,94124 
Golden City Inn,5131 3rd St,94124
Ingleside Pizza,4097 19th Ave,94132
Queens Louisiana,3030 San Bruno Ave,94134
Round Table Pizza,4523 Mission St,94112
Carl's Jr.,10 UN Plaza,94102
Carl's Jr.,1 Hallidie Plaza,94102
Burger King,1200 Market St,94102
Burger King,2978  16th St,94103
Burger King,1298 Howard St,94103
Burger King,819 Van Ness Ave,94109
Burger King,1690 Valencia St,94110
Burger King,4780 Mission St,94112
Burger King,1701 Fillmore St,94115
Burger King,3900 Geary Blvd,94118
Pizza Hut,728 Geary St,94109	 
Pizza Hut,3349 Mission St,94110
KFC/Taco Bell,200 Duboce Ave,94103
KFC/Taco Bell,691 Eddy St,94109
KFC/Taco Bell,4285 Mission St,94112
KFC/Taco Bell,1881 Geary Blvd,94115
KFC/Taco Bell,1150 Taraval St,94116
KFC/Taco Bell,4150 Geary Blvd,94118
KFC/Taco Bell,1900 Irving St,94122
KFC/Taco Bell,2101 Lombard St,94123 
KFC/Taco Bell,1610 Jerrold Ave,94124
KFC/Taco Bell,2040 Ocean Ave,94127
Subway,940 Market St,94102
Subway,1250 Market St,94102
Subway,77 Van Ness Ave,94102
Subway,147 Mason St,94102
Subway,376 Larkin St,94102
Subway,1099 Mission St,94103
Subway,11 3rd St,94103
Subway,187 6th St,94103
Subway,30 2nd St,94105
Subway,215 Fremont St,94105
Subway,653 Kearny St,94108
Subway,2001 Van Ness Ave,94109
Subway,753 Polk St,94109
Subway,160 Broadway St,94111
Subway,483 Sacramento St,94111
Subway,5 Embarcadero Ctr,94111
Subway,388 Market St,94111
Subway,2375 Market St,94114
Subway,1500 Fillmore St,94115
Subway,5650 Geary Blvd,94121
Subway,595 Buckingham Way Suite 587,94132
Subway,1501 Sloat Blvd,94132
Subway,2698 Mason St,94133	 
